"Year","Scenario","country","Income","med","lwr","upr"
2016,"Target <8 Mt","BRB","HI",0.000413,0.000405,0.000422
2016,"Target <8 Mt","BRN","HI",0.004821,0.004623,0.005018
2016,"Target <8 Mt","BWA","UMI",0.00392,0.003049,0.004772
2016,"Target <8 Mt","CAN","HI",0.023951,0.022173,0.025782
2016,"Target <8 Mt","CHE","HI",0.005818,0.005304,0.006348
2016,"Target <8 Mt","CHL","HI",0.02727,0.024236,0.030121
2016,"Target <8 Mt","CHN","UMI",1.575653,1.405343,1.742304
2016,"Target <8 Mt","CIV","LMI",0.130309,0.115139,0.145105
2016,"Target <8 Mt","CMR","LMI",0.020668,0.017539,0.02398
2016,"Target <8 Mt","COD","LI",0.153602,0.13894,0.168223
2016,"Target <8 Mt","COG","LMI",0.028959,0.027636,0.030159
2016,"Target <8 Mt","COL","UMI",0.015089,0.012823,0.017404
2016,"Target <8 Mt","COM","LI",0.00284,0.002767,0.002916
2016,"Target <8 Mt","CPV","LMI",0.003432,0.003157,0.003718
2016,"Target <8 Mt","CRI","UMI",0.003039,0.002368,0.003724
2016,"Target <8 Mt","CYP","HI",0.002469,0.002309,0.002622
2016,"Target <8 Mt","CZE","HI",0.000422,0.000375,0.000467
2016,"Target <8 Mt","DEU","HI",0.038849,0.034922,0.042955
2016,"Target <8 Mt","DJI","LMI",0.005856,0.005479,0.006262
2016,"Target <8 Mt","DMA","UMI",7.9e-05,7.7e-05,8.1e-05
2016,"Target <8 Mt","DNK","HI",0.006754,0.006421,0.007084
2016,"Target <8 Mt","DOM","UMI",0.138163,0.128114,0.148601
2016,"Target <8 Mt","DZA","UMI",0.438132,0.384779,0.490883
2016,"Target <8 Mt","ECU","UMI",0.047573,0.0411,0.05439
2016,"Target <8 Mt","EGY","LMI",0.969319,0.898061,1.038497
2016,"Target <8 Mt","ERI","LI",0,0,0
2016,"Target <8 Mt","ESP","HI",0.014973,0.014054,0.015849
2016,"Target <8 Mt","EST","HI",0.005574,0.005309,0.005851
2016,"Target <8 Mt","FIN","HI",0.002643,0.002411,0.002871
2016,"Target <8 Mt","FJI","UMI",0.003993,0.003779,0.004203
2016,"Target <8 Mt","FRA","HI",0.022104,0.020521,0.023672
2016,"Target <8 Mt","FRO","HI",0.000794,0.000729,0.000862
2016,"Target <8 Mt","FSM","LMI",0.017404,0.016783,0.018026
2016,"Target <8 Mt","GAB","UMI",0.008613,0.008246,0.008965
2016,"Target <8 Mt","GBR","HI",0.055427,0.050853,0.060067
2016,"Target <8 Mt","GEO","LMI",0.000235,0.000224,0.000246
2016,"Target <8 Mt","GHA","LMI",0.012564,0.011098,0.014049
2016,"Target <8 Mt","GIB","HI",6.5e-05,6.4e-05,6.7e-05
2016,"Target <8 Mt","GIN","LI",0.007746,0.006564,0.008933
2016,"Target <8 Mt","GMB","LI",0.005928,0.005709,0.006153
2016,"Target <8 Mt","GNB","LI",0.004303,0.004021,0.004586
2016,"Target <8 Mt","GNQ","UMI",0.00011,9.8e-05,0.000122
2016,"Target <8 Mt","GRC","HI",0.007271,0.006897,0.007637
2016,"Target <8 Mt","GRD","UMI",7.1e-05,7e-05,7.3e-05
2016,"Target <8 Mt","GTM","UMI",0.040465,0.026655,0.05414
2016,"Target <8 Mt","GUY","UMI",0.008826,0.008519,0.009136
2016,"Target <8 Mt","HKG","HI",0.015749,0.015402,0.01609
2016,"Target <8 Mt","HND","LMI",0.017604,0.014329,0.020532
2016,"Target <8 Mt","HRV","HI",0.0039,0.003707,0.004101
2016,"Target <8 Mt","HTI","LI",0.118621,0.112537,0.124653
2016,"Target <8 Mt","IDN","LMI",1.689967,1.553517,1.825571
2016,"Target <8 Mt","IND","LMI",2.860935,2.514122,3.211998
2016,"Target <8 Mt","IRL","HI",0.004473,0.00417,0.004783
2016,"Target <8 Mt","IRN","UMI",0.152332,0.111761,0.191669
